//Vitesse d'echantillonage ms : 10
Tension (0-255) de 12V;Pos Encodeur A ;Pos encodeur B
50; 0; 0
50; 1; 1
50; 2; 2
50; 3; 3
50; 5; 5
50; 7; 6
50; 9; 9
50; 11; 11
50; 14; 14
50; 17; 17
50; 20; 20
50; 23; 23
50; 27; 27
50; 30; 30
50; 34; 34
50; 38; 38
50; 42; 42
50; 47; 46
50; 51; 51
50; 56; 55
50; 60; 60
50; 65; 65
50; 70; 69
50; 74; 74
50; 79; 79
50; 84; 84
50; 89; 89
50; 94; 94
50; 100; 99
50; 105; 105
50; 110; 110
50; 115; 115
50; 121; 120
50; 126; 126
50; 131; 131
50; 137; 136
50; 142; 142
50; 147; 147
50; 153; 153
50; 158; 158
50; 164; 163
50; 169; 169
50; 175; 174
50; 180; 180
50; 185; 185
50; 191; 191
50; 197; 196
50; 202; 202
50; 208; 207
50; 213; 213
50; 219; 218
50; 224; 224
50; 230; 229
50; 235; 235
50; 241; 241
50; 246; 246
50; 252; 252
50; 257; 257
50; 263; 263
50; 269; 268
50; 274; 274
50; 280; 279
50; 285; 285
50; 291; 291
50; 296; 296
50; 302; 302
50; 308; 307
50; 313; 313
50; 319; 318
50; 324; 324
50; 330; 330
50; 335; 335
50; 341; 341
50; 347; 346
50; 352; 352
50; 358; 357
50; 363; 363
50; 369; 369
50; 374; 374
50; 380; 380
50; 386; 385
50; 391; 391
50; 397; 397
50; 402; 402
50; 408; 408
50; 414; 413
50; 419; 419
50; 425; 424
50; 430; 430
50; 436; 436
50; 441; 441
50; 447; 447
50; 453; 452
50; 458; 458
50; 464; 463
50; 469; 469
50; 475; 475
50; 480; 480
50; 486; 486
50; 492; 491
50; 497; 497
50; 503; 502
50; 508; 508
50; 514; 514
50; 519; 519
50; 525; 525
50; 531; 530
50; 536; 536
50; 542; 541
50; 547; 547
50; 553; 553
50; 558; 558
50; 564; 564
50; 569; 569
50; 575; 575
50; 581; 580
50; 586; 586
50; 592; 592
50; 597; 597
50; 603; 603
50; 608; 608
50; 614; 614
50; 620; 619
50; 625; 625
50; 631; 630
50; 636; 636
50; 642; 642
50; 647; 647
50; 653; 653
50; 658; 658
50; 664; 664
50; 670; 669
50; 675; 675
50; 681; 680
50; 686; 686
50; 692; 692
50; 697; 697
50; 703; 703
50; 709; 708
50; 714; 714
50; 720; 719
50; 725; 725
50; 731; 731
50; 736; 736
50; 742; 742
50; 748; 747
50; 753; 753
50; 759; 758
50; 764; 764
50; 770; 770
50; 775; 775
50; 781; 781
50; 786; 786
50; 792; 792
50; 798; 797
50; 803; 803
50; 809; 809
50; 814; 814
50; 820; 820
50; 825; 825
50; 831; 831
50; 837; 836
50; 842; 842
50; 848; 847
50; 853; 853
50; 859; 859
50; 864; 864
50; 870; 870
50; 876; 875
50; 881; 881
50; 887; 886
50; 892; 892
50; 898; 898
50; 903; 903
50; 909; 909
50; 914; 914
50; 920; 920
50; 926; 925
50; 931; 931
50; 937; 936
50; 942; 942
50; 948; 948
50; 953; 953
50; 959; 959
50; 964; 964
50; 970; 970
50; 976; 975
50; 981; 981
50; 987; 986
50; 992; 992
50; 998; 998
50; 1003; 1003
50; 1009; 1009
50; 1014; 1014
50; 1020; 1020
50; 1026; 1025
50; 1031; 1031
50; 1037; 1036
50; 1042; 1042
50; 1048; 1048
50; 1053; 1053
50; 1059; 1059
50; 1065; 1064
50; 1070; 1070
50; 1076; 1075
50; 1081; 1081
50; 1087; 1087
50; 1092; 1092
50; 1098; 1098
50; 1104; 1103
50; 1109; 1109
50; 1115; 1114
50; 1120; 1120
50; 1126; 1126
50; 1131; 1131
50; 1137; 1137
50; 1143; 1142
50; 1148; 1148
50; 1154; 1153
50; 1159; 1159
50; 1165; 1165
50; 1170; 1170
50; 1176; 1176
50; 1181; 1181
50; 1187; 1187
50; 1193; 1192
50; 1198; 1198
50; 1204; 1203
50; 1209; 1209
50; 1215; 1215
50; 1220; 1220
50; 1226; 1226
50; 1232; 1231
50; 1237; 1237
50; 1243; 1242
50; 1248; 1248
50; 1254; 1254
50; 1259; 1259
50; 1265; 1265
50; 1271; 1270
50; 1276; 1276
50; 1282; 1281
50; 1287; 1287
50; 1293; 1293
50; 1298; 1298
50; 1304; 1304
50; 1310; 1309
50; 1315; 1315
50; 1321; 1320
50; 1326; 1326
50; 1332; 1332
50; 1337; 1337
50; 1343; 1343
50; 1349; 1348
50; 1354; 1354
50; 1360; 1359
50; 1365; 1365
50; 1371; 1371
50; 1376; 1376
50; 1382; 1382
50; 1388; 1387
50; 1393; 1393
50; 1399; 1398
50; 1404; 1404
50; 1410; 1410
50; 1415; 1415
50; 1421; 1421
50; 1427; 1426
50; 1432; 1432
50; 1438; 1437
50; 1443; 1443
50; 1449; 1449
50; 1454; 1454
50; 1460; 1460
50; 1466; 1465
50; 1471; 1471
50; 1477; 1476
50; 1482; 1482
50; 1488; 1488
50; 1493; 1493
50; 1499; 1499
50; 1504; 1504
50; 1510; 1510
50; 1516; 1515
50; 1521; 1521
50; 1527; 1526
50; 1532; 1532
50; 1538; 1538
50; 1543; 1543
50; 1549; 1549
50; 1554; 1554
50; 1560; 1560
50; 1566; 1565
50; 1571; 1571
50; 1577; 1576
50; 1582; 1582
50; 1588; 1588
50; 1593; 1593
50; 1599; 1599
50; 1604; 1604
50; 1610; 1610
50; 1616; 1615
50; 1621; 1621
50; 1627; 1626
50; 1632; 1632
50; 1638; 1638
50; 1643; 1643
50; 1649; 1649
50; 1654; 1654
50; 1660; 1660
50; 1666; 1665
50; 1671; 1671
50; 1677; 1676
50; 1682; 1682
50; 1688; 1688
50; 1693; 1693
50; 1699; 1699
50; 1705; 1704
50; 1710; 1710
50; 1716; 1715
50; 1721; 1721
50; 1727; 1726
50; 1732; 1732
50; 1738; 1738
50; 1743; 1743
50; 1749; 1749
50; 1755; 1754
50; 1760; 1760
50; 1766; 1765
50; 1771; 1771
50; 1777; 1777
50; 1782; 1782
50; 1788; 1788
50; 1793; 1793
50; 1799; 1799
50; 1805; 1804
50; 1810; 1810
50; 1816; 1815
50; 1821; 1821
50; 1827; 1827
50; 1832; 1832
50; 1838; 1838
50; 1843; 1843
50; 1849; 1849
50; 1855; 1854
50; 1860; 1860
50; 1866; 1865
50; 1871; 1871
50; 1877; 1877
50; 1882; 1882
50; 1888; 1888
50; 1893; 1893
50; 1899; 1899
50; 1905; 1904
50; 1910; 1910
50; 1916; 1915
50; 1921; 1921
50; 1927; 1927
50; 1932; 1932
50; 1938; 1938
50; 1944; 1943
50; 1949; 1949
50; 1955; 1954
50; 1960; 1960
50; 1966; 1965
50; 1971; 1971
50; 1977; 1977
50; 1982; 1982
50; 1988; 1988
50; 1994; 1993
50; 1999; 1999
50; 2005; 2004
50; 2010; 2010
50; 2016; 2015
50; 2021; 2021
50; 2027; 2027
50; 2032; 2032
50; 2038; 2038
50; 2044; 2043
50; 2049; 2049
50; 2055; 2054
50; 2060; 2060
50; 2066; 2065
50; 2071; 2071
50; 2077; 2077
50; 2082; 2082
50; 2088; 2088
50; 2094; 2093
50; 2099; 2099
50; 2105; 2104
50; 2110; 2110
50; 2116; 2116
50; 2121; 2121
50; 2127; 2127
50; 2132; 2132
50; 2138; 2138
50; 2144; 2143
50; 2149; 2149
50; 2155; 2154
50; 2160; 2160
50; 2166; 2166
50; 2171; 2171
50; 2177; 2177
50; 2182; 2182
50; 2188; 2188
50; 2194; 2193
50; 2199; 2199
50; 2205; 2204
50; 2210; 2210
50; 2216; 2216
50; 2221; 2221
50; 2227; 2227
50; 2232; 2232
50; 2238; 2238
50; 2244; 2243
50; 2249; 2249
50; 2255; 2254
50; 2260; 2260
50; 2266; 2266
50; 2271; 2271
50; 2277; 2277
50; 2282; 2282
50; 2288; 2288
50; 2294; 2293
50; 2299; 2299
50; 2305; 2304
50; 2310; 2310
50; 2316; 2316
50; 2321; 2321
50; 2327; 2327
50; 2332; 2332
50; 2338; 2338
50; 2344; 2343
50; 2349; 2349
50; 2355; 2354
50; 2360; 2360
50; 2366; 2366
50; 2371; 2371
50; 2377; 2377
50; 2382; 2382
50; 2388; 2388
50; 2394; 2393
50; 2399; 2399
50; 2405; 2404
50; 2410; 2410
50; 2416; 2416
50; 2421; 2421
50; 2427; 2427
50; 2432; 2432
50; 2438; 2438
50; 2444; 2443
50; 2449; 2449
50; 2455; 2454
50; 2460; 2460
50; 2466; 2466
50; 2471; 2471
50; 2477; 2477
50; 2482; 2482
50; 2488; 2488
50; 2493; 2493
50; 2499; 2499
50; 2505; 2504
50; 2510; 2510
50; 2516; 2515
50; 2521; 2521
50; 2527; 2527
50; 2532; 2532
50; 2538; 2538
50; 2543; 2543
50; 2549; 2549
50; 2555; 2554
50; 2560; 2560
50; 2566; 2565
50; 2571; 2571
50; 2577; 2576
50; 2582; 2582
50; 2588; 2588
50; 2593; 2593
50; 2599; 2599
50; 2604; 2604
50; 2610; 2610
50; 2616; 2615
50; 2621; 2621
50; 2627; 2626
50; 2632; 2632
50; 2638; 2638
50; 2643; 2643
50; 2649; 2649
50; 2654; 2654
50; 2660; 2660
50; 2666; 2665
50; 2671; 2671
50; 2677; 2676
50; 2682; 2682
50; 2688; 2687
50; 2693; 2693
50; 2699; 2699
50; 2704; 2704
50; 2710; 2710
50; 2715; 2715
50; 2721; 2721
50; 2727; 2726
50; 2732; 2732
50; 2738; 2737
50; 2743; 2743
50; 2749; 2749
50; 2754; 2754
50; 2760; 2760
50; 2765; 2765
50; 2771; 2771
50; 2776; 2776
50; 2782; 2782
50; 2788; 2787
50; 2793; 2793
50; 2799; 2798
50; 2804; 2804
50; 2810; 2810
50; 2815; 2815
50; 2821; 2821
50; 2826; 2826
50; 2832; 2832
50; 2837; 2837
50; 2843; 2843
50; 2849; 2848
50; 2854; 2854
50; 2860; 2859
50; 2865; 2865
50; 2871; 2871
50; 2876; 2876
50; 2882; 2882
50; 2887; 2887
50; 2893; 2893
50; 2898; 2898
50; 2904; 2904
50; 2910; 2909
50; 2915; 2915
50; 2921; 2920
50; 2926; 2926
50; 2932; 2932
50; 2937; 2937
50; 2943; 2943
50; 2948; 2948
50; 2954; 2954
50; 2959; 2959
50; 2965; 2965
50; 2971; 2970
50; 2976; 2976
50; 2982; 2981
50; 2987; 2987
50; 2993; 2993
50; 2998; 2998
50; 3004; 3004
50; 3009; 3009
50; 3015; 3015
50; 3020; 3020
50; 3026; 3026
50; 3032; 3031
50; 3037; 3037
50; 3043; 3042
50; 3048; 3048
50; 3054; 3054
50; 3059; 3059
50; 3065; 3065
50; 3070; 3070
50; 3076; 3076
50; 3081; 3081
50; 3087; 3087
50; 3093; 3092
50; 3098; 3098
50; 3104; 3103
50; 3109; 3109
50; 3115; 3115
50; 3120; 3120
50; 3126; 3126
50; 3131; 3131
50; 3137; 3137
50; 3142; 3142
50; 3148; 3148
50; 3154; 3153
50; 3159; 3159
50; 3165; 3164
50; 3170; 3170
50; 3176; 3176
50; 3181; 3181
50; 3187; 3187
50; 3192; 3192
50; 3198; 3198
50; 3203; 3203
50; 3209; 3209
50; 3215; 3214
50; 3220; 3220
50; 3226; 3225
50; 3231; 3231
50; 3237; 3237
50; 3242; 3242
50; 3248; 3248
50; 3253; 3253
50; 3259; 3259
50; 3265; 3264
50; 3270; 3270
50; 3276; 3275
50; 3281; 3281
50; 3287; 3287
50; 3292; 3292
50; 3298; 3298
50; 3303; 3303
50; 3309; 3309
50; 3314; 3314
50; 3320; 3320
50; 3326; 3325
50; 3331; 3331
50; 3337; 3336
50; 3342; 3342
50; 3348; 3348
50; 3353; 3353
50; 3359; 3359
50; 3364; 3364
50; 3370; 3370
50; 3376; 3375
50; 3381; 3381
50; 3387; 3386
50; 3392; 3392
50; 3398; 3398
50; 3403; 3403
50; 3409; 3409
50; 3414; 3414
50; 3420; 3420
50; 3426; 3425
50; 3431; 3431
50; 3437; 3436
50; 3442; 3442
50; 3448; 3448
50; 3453; 3453
50; 3459; 3459
50; 3464; 3464
50; 3470; 3470
50; 3476; 3475
50; 3481; 3481
50; 3487; 3486
50; 3492; 3492
50; 3498; 3498
50; 3503; 3503
50; 3509; 3509
50; 3514; 3514
50; 3520; 3520
50; 3526; 3525
50; 3531; 3531
50; 3537; 3536
50; 3542; 3542
50; 3548; 3548
50; 3553; 3553
50; 3559; 3559
50; 3564; 3564
50; 3570; 3570
50; 3575; 3575
50; 3581; 3581
50; 3587; 3586
50; 3592; 3592
50; 3598; 3597
50; 3603; 3603
50; 3609; 3609
50; 3614; 3614
50; 3620; 3620
50; 3625; 3625
50; 3631; 3631
50; 3636; 3636
50; 3642; 3642
50; 3648; 3647
50; 3653; 3653
50; 3659; 3658
50; 3664; 3664
50; 3670; 3670
50; 3675; 3675
50; 3681; 3681
50; 3686; 3686
50; 3692; 3692
50; 3698; 3697
50; 3703; 3703
50; 3709; 3708
